Stock ticker:GME       Mentioned:34        
Stock ticker:TSLA      Mentioned:23        
Stock ticker:PLTR      Mentioned:14        
Stock ticker:A         Mentioned:14        
Stock ticker:DD        Mentioned:8         
Stock ticker:AMZN      Mentioned:6         
Stock ticker:NEW       Mentioned:3         
Stock ticker:ALL       Mentioned:3         
Stock ticker:PSTH      Mentioned:2         
Stock ticker:ONE       Mentioned:2         
Stock ticker:ON        Mentioned:2         
Stock ticker:FSLY      Mentioned:2         
Stock ticker:FOR       Mentioned:2         
Stock ticker:BB        Mentioned:2         
Stock ticker:ATH       Mentioned:2         
Stock ticker:AMD       Mentioned:2         
Stock ticker:WTI       Mentioned:1         
Stock ticker:V         Mentioned:1         
Stock ticker:U         Mentioned:1         
Stock ticker:TRUE      Mentioned:1         
Stock ticker:TD        Mentioned:1         
Stock ticker:STAY      Mentioned:1         
Stock ticker:SPCE      Mentioned:1         
Stock ticker:SO        Mentioned:1         
Stock ticker:REAL      Mentioned:1         
Stock ticker:R         Mentioned:1         
Stock ticker:PZZA      Mentioned:1         
Stock ticker:PUMP      Mentioned:1         
Stock ticker:PRPL      Mentioned:1         
Stock ticker:PDT       Mentioned:1         
Stock ticker:NVDA      Mentioned:1         
Stock ticker:NOW       Mentioned:1         
Stock ticker:NKLA      Mentioned:1         
Stock ticker:NKE       Mentioned:1         
Stock ticker:NIO       Mentioned:1         
Stock ticker:MU        Mentioned:1         
Stock ticker:MSFT      Mentioned:1         
Stock ticker:MAN       Mentioned:1         
Stock ticker:LYFT      Mentioned:1         
Stock ticker:LOVE      Mentioned:1         
Stock ticker:LIVE      Mentioned:1         
Stock ticker:KODK      Mentioned:1         
Stock ticker:J         Mentioned:1         
Stock ticker:IRL       Mentioned:1         
Stock ticker:IMO       Mentioned:1         
Stock ticker:HE        Mentioned:1         
Stock ticker:GO        Mentioned:1         
Stock ticker:GM        Mentioned:1         
Stock ticker:GE        Mentioned:1         
Stock ticker:EV        Mentioned:1         
Stock ticker:EA        Mentioned:1         
Stock ticker:DOW       Mentioned:1         
Stock ticker:DKS       Mentioned:1         
Stock ticker:DASH      Mentioned:1         
Stock ticker:D         Mentioned:1         
Stock ticker:CRSR      Mentioned:1         
Stock ticker:CEO       Mentioned:1         
Stock ticker:CAN       Mentioned:1         
Stock ticker:BYND      Mentioned:1         
Stock ticker:BE        Mentioned:1         
Stock ticker:BBW       Mentioned:1         
Stock ticker:BABA      Mentioned:1         
Stock ticker:AT        Mentioned:1         
Stock ticker:ARE       Mentioned:1         
Stock ticker:AMC       Mentioned:1         
Stock ticker:ABNB      Mentioned:1         
Stock ticker:AAPL      Mentioned:1         
